Pot_ID,Latitude,Lat_N,Lat_DM,Lat_DD,Longitude,Lon_W,Lon_DM,Lon_DD
C34,56° 43.29192' N,56,43.2919,56.7215,163° 20.39478' W,163,20.3948,-163.3399
C35,56° 41.30004' N,56,41.3,56.6883,163° 20.40198' W,163,20.402,-163.34
C36,56° 39.3081' N,56,39.3081,56.6551,163° 20.40918' W,163,20.4092,-163.3402
C37,56° 37.31604' N,56,37.316,56.6219,163° 20.41638' W,163,20.4164,-163.3403
C38,56° 35.32392' N,56,35.3239,56.5887,163° 20.42358' W,163,20.4236,-163.3404
C39,56° 33.33174' N,56,33.3317,56.5555,163° 20.43078' W,163,20.4308,-163.3405
C40,56° 31.33944' N,56,31.3394,56.5223,163° 20.43792' W,163,20.4379,-163.3406
C41,56° 29.34714' N,56,29.3471,56.4891,163° 20.44506' W,163,20.4451,-163.3408
C42,56° 27.35472' N,56,27.3547,56.4559,163° 20.4522' W,163,20.4522,-163.3409
C43,56° 25.36218' N,56,25.3622,56.4227,163° 20.45934' W,163,20.4593,-163.341
C44,56° 23.36964' N,56,23.3696,56.3895,163° 20.46642' W,163,20.4664,-163.3411
C45,56° 21.37698' N,56,21.377,56.3563,163° 20.4735' W,163,20.4735,-163.3412
C46,56° 19.38426' N,56,19.3843,56.3231,163° 20.48058' W,163,20.4806,-163.3413
C47,56° 17.39142' N,56,17.3914,56.2899,163° 20.48766' W,163,20.4877,-163.3415
C48,56° 15.39852' N,56,15.3985,56.2566,163° 20.49474' W,163,20.4947,-163.3416
C49,56° 13.40556' N,56,13.4056,56.2234,163° 20.50176' W,163,20.5018,-163.3417
